,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,0,PF,1561616245,82,-23.12,-134.97,74.21,12.19
1,Hermanus,22,ZA,1561616245,98,-34.42,19.24,55.99,10.65
2,Kodiak,1,US,1561616246,60,39.95,-94.76,77.0,8.05
3,Black River,20,JM,1561616246,78,18.03,-77.85,82.4,9.17
4,Marzuq,92,YE,1561616246,14,14.4,46.47,90.59,7.81
5,Alexandria,0,RO,1561616041,56,43.97,25.33,82.99,1.99
6,Pierre,1,US,1561616080,73,44.37,-100.35,75.0,6.93
7,Mataura,17,NZ,1561616247,86,-46.19,168.86,51.01,5.01
8,Pleasanton,20,US,1561616070,82,37.66,-121.87,62.01,12.75
9,Hilo,90,US,1561616248,74,19.71,-155.08,80.6,9.17
10,Busselton,41,AU,1561616248,47,-33.64,115.35,57.0,28.48
11,Dikson,84,RU,1561616248,96,73.51,80.55,34.07,13.62
12,Upernavik,12,GL,1561616248,90,72.79,-56.15,32.81,9.66
13,Lebu,61,ET,1561616249,68,8.96,38.73,63.77,2.28
14,Paamiut,100,GL,1561616249,100,61.99,-49.67,40.19,6.96
15,Caravelas,6,BR,1561616249,87,-17.73,-39.27,71.87,4.23
16,Skibbereen,0,IE,1561616250,82,51.55,-9.27,59.0,20.8
17,Albany,20,US,1561616121,93,42.65,-73.75,66.99,4.27
18,Tura,73,RU,1561615977,37,64.27,100.22,81.05,5.19
19,Punta Arenas,75,CL,1561616250,68,-53.16,-70.91,30.2,13.87
20,Ushuaia,75,AR,1561616129,100,-54.81,-68.31,28.4,24.16
21,Khatanga,22,RU,1561616031,28,71.98,102.47,60.35,4.81
22,Mikhaylovskoye,40,RU,1561616251,88,43.1,44.64,71.01,4.0
23,Hami,0,CN,1561616251,14,42.84,93.51,80.87,2.84
24,Yellowknife,75,CA,1561616060,81,62.45,-114.38,50.0,14.99
25,San Vicente,75,SV,1561616253,94,13.64,-88.78,77.0,3.36
26,Klaksvik,90,FO,1561616253,100,62.23,-6.59,50.0,10.29
27,Harper,1,US,1561616253,88,30.3,-99.24,73.99,10.02
28,Saint George,20,GR,1561616131,51,39.45,22.34,84.2,9.17
29,Chuy,2,UY,1561616254,80,-33.69,-53.46,43.25,9.15
30,Airai,50,TL,1561616255,46,-8.93,125.41,81.41,4.81
31,Mar del Plata,84,AR,1561616255,68,-46.43,-67.52,32.45,13.73
32,Llanes,6,ES,1561616255,97,43.42,-4.75,64.0,2.59
33,Lesnoy Gorodok,40,RU,1561616256,60,51.73,113.07,71.6,6.71
34,Port Alfred,0,ZA,1561616256,83,-33.59,26.89,57.99,3.0
35,Pevek,66,RU,1561616256,74,69.7,170.27,36.59,26.6
36,Barrow,96,AR,1561616257,42,-38.31,-60.23,47.93,14.25
37,Havoysund,75,NO,1561616257,81,71.0,24.66,42.8,28.86
38,Padang,11,ID,1561616258,72,-0.92,100.36,83.03,6.93
39,Bluff,50,AU,1561616038,54,-23.58,149.07,72.41,15.9
40,Vaini,75,IN,1561616258,88,15.34,74.49,75.2,6.93
41,Atuona,5,PF,1561616258,75,-9.8,-139.03,80.69,17.67
42,Tiksi,6,RU,1561616259,35,71.64,128.87,71.33,12.33
43,Jamestown,0,AU,1561616259,49,-33.21,138.6,65.57,13.62
44,Barcelos,91,BR,1561616259,98,-0.97,-62.93,72.05,2.89
45,Cherskiy,82,RU,1561616260,35,68.75,161.3,64.67,19.95
46,Matamoros,75,US,1561616260,88,25.87,-97.51,82.99,9.17
47,Puerto Escondido,100,MX,1561616261,85,15.86,-97.07,78.17,5.12
48,Puerto Ayora,1,EC,1561616018,86,-0.74,-90.35,72.23,10.74
49,Petropavlovsk-Kamchatskiy,75,RU,1561616261,71,53.05,158.65,51.8,13.42
50,Yarada,55,IN,1561616261,57,17.65,83.27,93.29,14.43
51,Tilichiki,100,RU,1561616262,90,60.47,166.1,48.11,8.34
52,Peleduy,0,RU,1561616262,30,59.63,112.75,81.41,9.01
53,Arraial do Cabo,15,BR,1561616262,78,-22.97,-42.02,74.39,2.33
54,Bredasdorp,6,ZA,1561616263,93,-34.53,20.04,45.0,1.12
55,Leshukonskoye,100,RU,1561616263,41,64.9,45.76,61.97,8.61
56,Lagoa,0,PT,1561616264,87,37.14,-8.45,63.0,4.7
57,Yerbogachen,78,RU,1561616075,29,61.28,108.01,81.77,7.23
58,Shumyachi,100,RU,1561616264,95,53.86,32.43,68.27,10.18
59,Alofi,0,NU,1561616264,78,-19.06,-169.92,73.4,10.29
60,Kaitangata,3,NZ,1561616265,63,-46.28,169.85,51.01,1.01
61,Mumford,89,GH,1561616265,95,5.26,-0.76,73.13,2.35
62,Sao Joao da Barra,1,BR,1561616266,83,-21.64,-41.05,67.91,3.51
63,Thompson,40,CA,1561616266,100,55.74,-97.86,48.2,3.36
64,Bayburt,76,TR,1561616267,84,40.26,40.22,58.37,4.29
65,New Norfolk,0,AU,1561616267,54,-42.78,147.06,55.4,6.93
66,Kosh-Agach,67,RU,1561616267,31,49.99,88.66,63.59,2.73
67,Mayumba,2,GA,1561616267,79,-3.44,10.65,72.95,8.1
68,Nouadhibou,0,MR,1561616268,68,20.93,-17.03,71.6,23.04
69,Hoima,87,UG,1561616268,85,1.43,31.35,72.23,3.13
70,Kapaa,75,US,1561615992,83,22.08,-159.32,78.8,4.7
71,Saskylakh,35,RU,1561616269,32,71.97,114.09,63.41,14.38
72,Jacareacanga,100,BR,1561616269,72,-6.22,-57.76,72.59,1.61
73,Alihe,100,CN,1561616269,76,50.57,123.73,62.69,9.73
74,Kodinsk,0,RU,1561615995,24,58.6,99.18,87.17,7.05
75,Boa Vista,40,BR,1561616270,78,2.82,-60.67,78.8,9.17
76,Castro,75,CL,1561616271,93,-42.48,-73.76,46.4,11.41
77,Geraldton,75,CA,1561616272,72,49.72,-86.95,62.6,6.93
78,Half Moon Bay,90,US,1561616235,87,37.46,-122.43,60.8,9.17
79,Hobart,0,AU,1561615999,54,-42.88,147.33,55.4,6.93
80,Cairns,98,AU,1561616273,57,-16.92,145.77,78.8,18.34
81,Grand Gaube,40,MU,1561616273,78,-20.01,57.66,77.0,17.22
82,Cabo San Lucas,5,MX,1561616270,23,22.89,-109.91,86.0,6.93
83,Severo-Kurilsk,100,RU,1561615995,96,50.68,156.12,40.19,15.1
84,Beira,20,ES,1561616274,100,43.2,-8.36,63.0,3.36
85,Praya,75,ID,1561616274,58,-8.71,116.27,82.4,12.75
86,Kendal,20,ID,1561616275,49,-6.92,110.2,89.6,11.41
87,Necochea,50,AR,1561616149,50,-38.55,-58.74,48.99,13.0
88,Thinadhoo,40,MV,1561616275,69,0.53,72.93,84.29,5.93
89,Cidreira,0,BR,1561616014,66,-30.17,-50.22,44.51,2.24
90,Hasaki,75,JP,1561616276,69,35.73,140.83,82.4,16.11
91,Kavieng,73,PG,1561616276,73,-2.57,150.8,85.01,11.9
92,Cape Town,31,ZA,1561616277,100,-33.93,18.42,61.0,4.7
93,Vanavara,7,RU,1561616277,28,60.35,102.28,84.29,4.94
94,Waipawa,0,NZ,1561616277,92,-39.94,176.59,39.0,0.92
95,Baruun-Urt,98,MN,1561616278,17,46.68,113.28,79.61,15.7
96,Constitucion,5,MX,1561616278,60,23.99,-104.67,70.0,5.99
97,Leningradskiy,97,RU,1561616278,84,69.38,178.42,34.79,5.93
98,Port Lincoln,50,AU,1561616279,64,-34.72,135.86,64.13,22.46
99,Isangel,90,VU,1561616268,83,-19.55,169.27,77.0,12.55
100,Gander,20,CA,1561616279,81,48.95,-54.61,48.2,8.05
101,Jember,72,ID,1561616279,64,-8.17,113.7,75.11,5.61
102,Valparaiso,90,US,1561616085,52,41.47,-87.06,69.8,5.82
103,Kostino,40,BG,1561616280,83,41.7,25.3,82.0,4.7
104,Zeya,95,RU,1561616280,35,53.74,127.27,73.13,6.24
105,Srednekolymsk,0,RU,1561616281,28,67.46,153.71,72.95,19.35
106,Torbay,20,CA,1561616281,81,47.66,-52.73,46.4,0.65
107,Coihaique,40,CL,1561616281,100,-45.58,-72.07,33.8,3.36
108,Saint-Philippe,40,CA,1561616091,88,45.36,-73.48,69.01,2.24
109,Broken Hill,0,AU,1561616282,35,-31.97,141.45,69.8,14.99
110,Victor Harbor,0,AU,1561616282,35,-35.55,138.62,71.6,18.34
111,Hasilpur,0,PK,1561616283,17,29.69,72.55,112.19,14.23
112,Tuatapere,82,NZ,1561616006,86,-46.13,167.69,51.01,5.01
113,Los Llanos de Aridane,6,ES,1561616283,68,28.66,-17.92,68.0,8.05
114,Victoria,75,BN,1561616284,66,5.28,115.24,89.6,5.82
115,Kraskino,0,RU,1561616284,54,42.71,130.78,79.25,10.36
116,Arnsberg,75,DE,1561616284,82,51.4,8.06,66.0,5.82
117,Hamilton,75,CA,1561616032,72,43.26,-79.87,70.0,4.7
118,Talnakh,0,RU,1561616285,61,69.49,88.39,46.4,13.42
119,Ogbomosho,100,NG,1561616286,95,8.13,4.25,72.05,4.05
120,Caucaia,75,BR,1561616286,74,-3.73,-38.66,80.6,12.75
121,East London,0,ZA,1561616286,48,-33.02,27.91,60.8,16.11
122,Manta,0,RO,1561616287,58,45.1,24.1,72.41,1.77
123,Tessalit,0,ML,1561616287,45,20.2,1.01,81.95,10.98
124,Aktau,0,KZ,1561616287,18,43.65,51.16,89.6,8.95
125,Le Passage,0,FR,1561616288,83,45.53,5.51,77.0,8.05
126,Dingle,100,PH,1561616288,82,11.0,122.67,79.97,6.98
127,Kruisfontein,0,ZA,1561616288,78,-34.0,24.73,52.25,7.61
128,Umm Kaddadah,49,SD,1561616289,55,13.6,26.69,82.85,16.51
129,Namibe,19,AO,1561616289,79,-15.19,12.15,63.95,8.21
130,Huarmey,14,PE,1561616289,88,-10.07,-78.15,62.87,13.58
131,Goderich,1,CA,1561616290,83,43.74,-81.71,63.0,6.67
132,Zhuanghe,42,CN,1561616291,33,39.7,122.97,88.61,9.44
133,Waddan,0,LY,1561616291,56,29.16,16.14,76.91,8.99
134,Ponta do Sol,69,BR,1561616292,63,-20.63,-46.0,61.97,3.06
135,Murray Bridge,0,AU,1561616292,51,-35.12,139.28,70.0,4.0
136,Koulikoro,0,ML,1561616292,69,12.86,-7.56,80.6,5.82
137,Sola,100,TZ,1561616293,66,-3.17,33.8,68.45,3.8
138,Lavrentiya,100,RU,1561616293,97,65.58,-170.99,46.67,5.06
139,Okato,23,NZ,1561616294,71,-39.19,173.88,50.0,6.98
140,Komsomolskiy,95,RU,1561616294,52,67.55,63.78,54.59,10.51
141,Oussouye,66,SN,1561616294,83,12.49,-16.54,77.99,15.55
142,Vila Franca do Campo,20,PT,1561616294,72,37.72,-25.43,62.6,11.41
143,Hithadhoo,31,MV,1561616295,71,-0.6,73.08,83.75,6.11
144,Iqaluit,20,CA,1561616002,86,63.75,-68.52,41.0,3.36
145,Tsuruoka,75,JP,1561616295,94,38.61,139.81,69.8,6.93
146,Kuusamo,75,FI,1561616139,76,65.96,29.19,55.4,8.05
147,Aklavik,75,CA,1561616163,61,68.22,-135.01,46.4,6.93
148,College,75,US,1561616296,23,64.86,-147.8,77.0,5.82
149,Firminy,0,FR,1561616297,68,45.39,4.29,73.99,4.7
150,San Patricio,0,PY,1561616297,81,-26.98,-56.83,41.63,4.74
151,Hofn,93,IS,1561616298,95,64.25,-15.21,43.79,11.9
152,Port Shepstone,53,ZA,1561616298,53,-30.74,30.45,55.85,8.05
153,Torres,0,BR,1561616298,80,-29.34,-49.73,43.61,3.06
154,Beipiao,88,CN,1561616299,26,41.8,120.76,92.57,10.18
155,Esperance,40,AU,1561616299,55,-33.86,121.89,62.6,19.46
156,Salalah,90,OM,1561616299,89,17.01,54.1,84.2,12.75
157,Omboue,90,GA,1561616300,78,-1.57,9.26,74.57,10.58
158,Kaoma,0,ZM,1561616300,60,-14.8,24.8,57.11,10.2
159,Atakpame,96,TG,1561616300,95,7.53,1.13,69.17,3.18
160,Bethel,90,US,1561616301,72,60.79,-161.76,66.2,10.29
161,Nome,1,US,1561616301,94,30.04,-94.42,82.99,4.32
162,Ribeira Grande,75,PT,1561616302,68,38.52,-28.7,64.4,10.29
163,Tuktoyaktuk,90,CA,1561616062,80,69.44,-133.03,41.0,12.75
164,Lorengau,74,PG,1561616302,79,-2.02,147.27,83.21,8.08
165,Vila,0,IT,1561616303,78,45.18,8.4,84.99,5.82
166,Krasnopillya,100,UA,1561616303,81,50.77,35.26,68.81,8.75
167,Gonc,0,HU,1561616303,78,48.47,21.28,77.0,3.36
168,Kalianget,20,ID,1561616304,49,-7.35,109.91,89.6,11.41
169,Batagay-Alyta,37,RU,1561616304,36,67.8,130.41,68.27,6.31
170,Wajid,4,SO,1561616304,52,3.81,43.25,80.69,23.82
171,Yakeshi,23,CN,1561616305,54,49.28,120.73,70.97,14.5
172,Atambua,35,ID,1561616305,64,-9.11,124.89,79.07,10.87
173,Mbarara,95,UG,1561616305,78,-0.61,30.65,67.19,1.81
174,Canon City,1,US,1561616306,37,39.46,-117.13,50.0,8.05
175,Mayo,20,CA,1561616306,35,63.59,-135.9,73.4,2.24
176,Chifeng,100,CN,1561616306,28,42.27,118.96,85.19,3.78
177,Durango,5,MX,1561616307,60,24.02,-104.67,70.0,5.99
178,Charters Towers,0,AU,1561616307,41,-20.07,146.27,76.73,11.88
179,Chokurdakh,0,RU,1561616077,33,70.62,147.9,66.11,15.5
180,Mosquera,20,CO,1561616307,66,4.71,-74.23,51.8,5.82
181,Khor,100,RU,1561616308,84,47.88,134.96,62.51,7.54
182,Grindavik,90,IS,1561616308,100,63.84,-22.43,50.0,16.11
183,Lovozero,94,RU,1561616308,59,68.01,35.02,57.11,7.05
184,Elliot Lake,1,CA,1561616309,93,46.37,-82.65,59.0,4.7
185,Pangnirtung,1,CA,1561616309,72,66.15,-65.72,44.51,2.37
186,Avarua,11,CK,1561616161,69,-21.21,-159.78,73.4,3.36
187,Cururupu,91,BR,1561616309,99,-1.82,-44.87,72.23,1.61
188,Kushnarenkovo,6,RU,1561616310,59,55.11,55.34,62.01,1.99
189,Mount Gambier,33,AU,1561616105,55,-37.83,140.78,64.4,16.11
190,Guantanamo,22,BO,1561616310,88,-16.14,-62.05,61.07,1.25
191,Biak,99,ID,1561616022,91,-0.91,122.88,69.17,4.85
192,Verkhnyaya Inta,100,RU,1561616311,83,65.99,60.32,51.35,8.86
193,Margate,0,AU,1561616311,54,-43.03,147.26,55.4,6.93
194,La Asuncion,0,AR,1561616312,32,-26.05,-65.39,46.67,6.15
195,Ola,71,RU,1561616312,89,59.58,151.3,49.55,5.08
196,Rondonopolis,26,BR,1561616312,91,-16.46,-54.64,64.67,4.07
197,Yar-Sale,66,RU,1561616313,56,66.83,70.83,52.25,9.66
198,Verkhnevilyuysk,42,RU,1561616313,38,63.45,120.31,78.53,5.88
199,Awbari,35,LY,1561616313,24,26.59,12.77,86.09,9.69
200,Zambezi,0,ZM,1561616314,62,-13.55,23.12,54.95,8.39
201,Buchanan,75,LR,1561616314,94,5.88,-10.05,75.2,7.29
202,Chumikan,28,RU,1561616314,43,54.72,135.31,66.65,5.59
203,Urla,0,TR,1561616315,65,38.32,26.77,84.2,20.8
204,Yuanping,100,CN,1561616315,74,38.72,112.71,63.77,3.94
205,Longyearbyen,75,NO,1561616316,96,78.22,15.63,39.2,14.99
206,Bayan,100,CN,1561616316,92,36.1,102.26,49.91,4.63
207,Fonte Boa,98,BR,1561616316,91,-2.51,-66.09,75.47,5.77
208,Bilma,0,NE,1561616317,30,18.69,12.92,86.45,12.12
209,Toktogul,95,KG,1561616317,99,41.87,72.95,63.0,6.46
210,Carballo,20,ES,1561616124,100,43.21,-8.69,63.0,3.36
211,Lensk,6,RU,1561616318,29,60.71,114.91,79.97,9.35
212,Bandarbeyla,28,SO,1561616318,43,9.49,50.81,88.07,30.67
213,Mazyr,100,BY,1561616318,87,52.05,29.27,73.67,13.02
214,Touros,20,BR,1561616318,94,-5.2,-35.46,73.4,4.7
215,Rawson,0,AR,1561616319,60,-43.3,-65.11,43.97,18.23
216,Kifri,0,IQ,1561616319,6,34.69,44.96,110.21,15.86
217,Georgetown,20,GY,1561616122,100,6.8,-58.16,73.4,4.7
218,Kassala,14,SD,1561616320,41,15.45,36.38,90.05,18.92
219,Tayshet,43,RU,1561616320,33,55.94,98.01,83.03,7.4
220,Mareeba,97,AU,1561616321,57,-16.99,145.42,78.8,18.34
221,Kendari,34,ID,1561616321,71,-3.99,122.52,82.67,4.74
222,Khani,75,GE,1561616321,83,41.96,42.96,75.2,4.7
223,Saint Anthony,1,US,1561616322,37,43.97,-111.68,66.2,4.7
224,Butaritari,1,KI,1561616322,77,3.07,172.79,83.39,15.61
225,Qaanaaq,0,GL,1561616322,75,77.48,-69.36,31.55,1.79
226,San Policarpo,100,PH,1561616323,76,12.18,125.51,84.83,3.76
227,Bambous Virieux,40,MU,1561616323,78,-20.34,57.76,77.0,17.22
228,Soyo,40,AO,1561616323,94,-6.13,12.37,68.0,13.51
229,Itarema,17,BR,1561616324,98,-2.92,-39.92,71.69,5.55
230,Sambava,1,MG,1561616324,62,-14.27,50.17,76.37,4.83
231,Dunedin,0,NZ,1561616134,53,-45.87,170.5,54.0,1.99
232,Chapais,90,CA,1561616324,93,49.78,-74.86,59.0,4.7
233,Laguna,40,BZ,1561616325,100,16.17,-88.94,77.0,1.19
234,Santa Maria,0,BR,1561616066,72,-16.02,-48.01,60.8,1.61
235,Erzin,0,TR,1561616326,62,36.95,36.2,86.0,18.34
236,Gao,84,ML,1561616326,42,16.28,-0.04,87.89,11.77
237,Perigueux,0,FR,1561616327,82,45.18,0.72,82.0,5.82
238,Cam Ranh,20,VN,1561616327,42,11.92,109.15,98.6,11.41
239,San Cristobal,99,HN,1561616328,95,14.68,-86.92,65.39,4.5
240,Kieta,100,PG,1561616328,69,-6.22,155.63,84.83,7.81
241,Ostrovnoy,100,RU,1561616328,74,68.05,39.51,54.23,12.41
242,Carnarvon,0,ZA,1561616329,44,-30.97,22.13,38.93,10.22
243,Alta Floresta,0,BR,1561616329,94,-9.87,-56.08,69.8,2.24
244,Kovur,100,IN,1561616329,54,14.5,79.99,87.53,14.72
245,Ayr,28,AU,1561616330,67,-19.58,147.4,75.99,6.31
246,Kuhdasht,0,IR,1561616330,19,33.53,47.61,91.4,2.24
247,Codrington,40,AU,1561616330,72,-28.95,153.24,68.0,19.46
248,Ixtapa,90,MX,1561616331,74,20.71,-105.21,84.0,3.36
249,Denton,1,US,1561616331,78,33.22,-97.13,77.0,5.82
250,Port Elizabeth,1,US,1561616332,88,39.31,-74.98,75.99,4.7
251,Guerrero Negro,97,MX,1561616332,86,27.97,-114.04,63.05,11.68
252,Port Macquarie,40,AU,1561616332,63,-31.43,152.91,66.99,5.82
253,Zabaykalsk,86,CN,1561616333,47,49.64,117.33,74.03,14.27
254,Olinda,20,AU,1561616333,51,-37.84,145.39,63.0,23.04
255,Aksu,0,KZ,1561616333,54,52.04,76.93,80.6,8.95
256,Santa Cruz,1,US,1561616335,82,36.97,-122.03,61.0,15.19
257,Bereda,20,ES,1561616335,100,43.27,-7.54,64.99,3.36
258,Bridgend,90,GB,1561616336,87,51.51,-3.58,59.0,20.8
259,San Quintin,93,PH,1561616336,69,17.54,120.52,86.27,10.54
260,Nador,90,MA,1561616336,78,35.17,-2.93,73.4,4.7
261,Mokhotlong,36,LS,1561616337,79,-29.29,29.06,35.51,6.53
262,Honggang,82,CN,1561616337,52,29.51,114.87,90.77,0.94
263,Lakes Entrance,33,AU,1561616337,71,-37.88,147.99,60.01,3.0
264,La Ronge,20,CA,1561616337,87,55.1,-105.3,55.4,3.36
265,Eureka,1,US,1561616338,93,40.8,-124.16,57.0,9.24
266,Porto Novo,75,BR,1561616339,93,-23.68,-45.44,64.4,8.05
267,Vardo,1,US,1561616339,83,39.62,-77.74,75.2,3.36
268,Tarrafal,20,CV,1561616339,78,15.28,-23.77,73.4,23.04
269,Clyde River,90,CA,1561616340,100,70.47,-68.59,30.2,3.36
270,Fayaoue,100,NC,1561616340,88,-20.65,166.53,71.69,7.76
271,Cockburn Town,83,TC,1561616340,79,21.46,-71.14,81.77,16.58
272,Sinnamary,96,GF,1561616341,94,5.38,-52.96,76.37,13.04
