,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
273,Kulhudhuffushi,88,MV,1561616341,75,6.62,73.07,83.03,12.59
274,Bejar,1,AL,1561616153,57,40.49,19.83,80.33,5.03
275,Norman Wells,40,CA,1561616341,62,65.28,-126.83,55.4,2.24
276,Tasiilaq,99,GL,1561616342,87,65.61,-37.64,42.8,2.24
277,Buraydah,0,SA,1561616342,18,26.33,43.97,102.2,4.7
278,Egvekinot,100,RU,1561616063,90,66.32,-179.17,39.83,4.25
279,Itaueira,66,BR,1561616342,60,-7.6,-43.03,71.87,7.34
280,Kalmunai,69,LK,1561616343,34,7.42,81.82,96.89,5.48
281,Mandalgovi,61,MN,1561616343,49,45.76,106.27,57.65,8.5
282,Santa Marta,40,CO,1561616343,62,11.24,-74.21,86.0,10.29
283,Marsa Matruh,0,EG,1561616344,78,31.35,27.25,78.8,5.82
284,Matadi,90,CD,1561616344,75,-5.83,13.46,69.53,4.61
285,Gondanglegi,60,ID,1561616345,62,-7.75,112.01,80.87,14.65
286,Ko Samui,20,TH,1561616345,62,9.54,99.94,89.6,10.29
287,De Panne,75,BE,1561616345,77,51.1,2.59,64.0,12.75
288,Narrabri,0,AU,1561616346,37,-30.33,149.78,71.6,10.29
289,Staritsa,99,RU,1561616346,97,56.51,34.93,54.05,7.09
290,Linares,100,CL,1561616346,75,-35.85,-71.6,48.29,16.44
291,Elat,100,CM,1561616347,98,2.91,11.16,67.01,2.93
292,Faya,0,SA,1561616347,11,18.39,42.45,84.2,13.87
293,Kocsord,0,HU,1561616347,74,47.94,22.39,79.0,6.93
294,Cody,1,US,1561616201,71,44.53,-109.06,62.01,3.47
295,Mexico,1,US,1561616348,94,39.17,-91.88,72.0,5.46
296,Kuito,0,AO,1561616348,48,-12.38,16.94,51.35,2.37
297,Bilibino,91,RU,1561616348,41,68.06,166.44,57.29,17.87
298,Saquena,18,PE,1561616349,95,-4.67,-73.52,72.41,1.32
299,Ilula,0,TZ,1561616349,60,-7.68,36.04,62.87,10.45
300,Nikolskoye,75,RU,1561616349,87,59.7,30.79,64.99,6.71
301,Narsaq,100,GL,1561616350,93,60.91,-46.05,46.4,10.29
302,Hutchinson,1,US,1561616076,73,38.06,-97.93,79.0,20.8
303,Chitipa,21,MW,1561616350,78,-9.7,33.27,60.17,8.59
304,Kerman,0,IR,1561616351,8,30.29,57.06,89.6,6.93
305,Nouakchott,0,MR,1561616134,35,18.08,-15.98,84.2,11.41
306,Faanui,0,PF,1561616351,71,-16.48,-151.75,80.69,4.09
307,Pringsewu,56,ID,1561616351,67,-5.36,104.98,82.13,6.78
308,Taltal,27,CL,1561616352,86,-25.41,-70.49,50.63,3.56
309,Sangar,0,RU,1561616352,32,63.92,127.47,81.59,1.34
310,Puerto Penasco,0,MX,1561616352,75,31.32,-113.53,79.0,8.99
311,Aasiaat,0,GL,1561616353,80,68.71,-52.87,37.85,7.54
312,Sao Filipe,0,CV,1561616353,83,14.9,-24.5,74.21,29.06
313,Ilulissat,1,GL,1561616354,80,69.22,-51.1,41.0,2.24
314,Avera,1,US,1561616354,94,33.19,-82.53,72.0,2.04
315,Ca Mau,100,VN,1561616354,87,9.18,105.15,78.35,2.73
316,Pisco,75,PE,1561616354,87,-13.71,-76.2,62.01,1.12
317,Dargaville,0,NZ,1561616355,73,-35.94,173.86,56.39,15.35
318,Termoli,0,IT,1561616355,10,42.0,14.99,84.99,5.01
319,Paita,0,PE,1561616355,91,-5.09,-81.11,64.49,10.94
320,Tanabe,75,JP,1561616355,94,33.73,135.39,77.0,23.04
321,Fortuna,40,US,1561616356,87,40.6,-124.16,57.0,4.7
322,Kloulklubed,90,PW,1561616356,94,7.04,134.26,77.0,14.99
323,Anadyr,90,RU,1561616356,93,64.73,177.51,48.2,15.66
324,Biltine,95,TD,1561616357,34,14.53,20.93,88.07,6.2
325,Saldanha,0,PT,1561616357,73,41.42,-6.55,63.95,1.92
326,Mount Isa,63,AU,1561616358,29,-20.73,139.49,78.8,6.93
327,Vao,100,EE,1561616071,97,59.1,26.19,56.03,4.59
328,Sidi Ali,31,DZ,1561616358,88,36.1,0.42,72.41,7.05
329,Ugoofaaru,100,MV,1561616358,74,5.67,73.0,83.21,10.49
330,Varnamo,75,SE,1561616359,100,57.19,14.04,61.0,6.93
331,Baculin,100,PH,1561616359,84,7.45,126.58,77.45,3.65
332,Loandjili,75,CG,1561616359,100,-4.77,11.87,66.2,11.45
333,Mlandizi,40,TZ,1561616360,88,-6.71,38.74,73.4,9.17
334,Vestmannaeyjar,98,IS,1561616360,96,63.44,-20.27,52.61,13.0
335,Nyahururu,9,KE,1561616360,77,0.03,36.37,65.75,7.0
336,Hambantota,40,LK,1561616360,66,6.12,81.12,91.4,17.22
337,Bahua,0,IN,1561616361,20,25.85,80.63,108.59,13.0
338,Ossora,40,RU,1561616361,54,59.24,163.07,58.01,6.08
339,Neuquen,40,AR,1561616192,63,-38.95,-68.06,53.6,18.34
340,Souillac,0,FR,1561616096,68,45.6,-0.6,77.0,6.93
341,Bida,79,NG,1561616362,93,9.08,6.02,73.49,2.93
342,Itaituba,87,BR,1561616362,95,-4.26,-55.99,70.97,2.08
343,Arlit,0,NE,1561616363,30,18.74,7.39,90.23,9.73
344,Erenhot,94,CN,1561616363,14,43.65,111.97,85.37,14.99
345,Lompoc,75,US,1561616363,93,34.64,-120.46,59.0,4.7
346,Athabasca,52,CA,1561616257,88,54.72,-113.29,51.53,2.91
347,La Maddalena,0,IT,1561616364,64,39.15,9.02,81.0,5.82
348,Kavali,100,IN,1561616364,55,14.91,79.99,88.61,13.6
349,La Palma,100,PA,1561616365,89,8.4,-78.14,78.71,5.17
350,Okhotsk,43,RU,1561616365,33,59.36,143.24,77.81,15.19
351,Moreira Sales,0,BR,1561616365,94,-24.05,-53.01,54.05,5.26
352,Matara,78,BI,1561616365,81,-3.48,29.48,56.57,2.33
353,Krutinka,74,RU,1561616366,68,56.01,71.51,56.57,10.38
354,Coronado,100,PA,1561616366,77,8.53,-79.9,82.99,8.25
355,Tuchola,75,PL,1561616367,63,53.59,17.86,71.01,17.22
356,Feijo,95,EC,1561616367,88,-3.63,-79.92,70.25,0.6
357,Rome,0,IT,1561616130,65,41.89,12.48,82.99,2.24
358,Prieska,0,ZA,1561616368,34,-29.67,22.74,43.97,9.4
359,Valjevo,20,RS,1561616368,83,44.27,19.89,75.2,1.12
360,Krasnovishersk,3,RU,1561616368,35,60.4,57.08,69.17,0.56
361,Luz,8,BR,1561616369,67,-19.79,-45.68,60.17,1.7
362,Ust-Nera,92,RU,1561616369,22,64.57,143.24,68.99,12.19
363,Cleburne,1,US,1561616369,88,32.35,-97.39,75.99,5.82
364,Kahului,1,US,1561616250,83,20.89,-156.47,75.99,3.36
365,Luderitz,0,NA,1561616370,100,-26.65,15.16,46.4,4.7
366,Husavik,0,CA,1561616370,75,50.56,-96.99,61.0,5.82
367,Gat,20,SN,1561616371,88,14.69,-16.54,77.0,13.87
368,Taoudenni,3,ML,1561616371,9,22.68,-3.98,89.69,6.55
369,Muros,40,ES,1561616371,100,42.77,-9.06,62.01,1.97
370,Prachuap Khiri Khan,100,TH,1561616372,81,11.81,99.79,79.43,9.1
371,Rocha,11,UY,1561616372,74,-34.48,-54.34,41.63,7.74
372,Aykhal,40,RU,1561616372,34,65.95,111.51,80.6,6.71
373,San Rafael del Sur,75,NI,1561616373,88,11.85,-86.44,77.0,6.93
374,Hanumangarh,8,IN,1561616373,22,29.58,74.33,107.69,11.81
375,Kualakapuas,5,ID,1561616374,74,-3.01,114.39,85.73,4.94
376,Tucurui,98,BR,1561616374,87,-3.77,-49.67,72.59,2.53
377,Oksfjord,75,NO,1561616375,75,70.24,22.35,48.2,24.16
378,Havelock,1,US,1561616173,88,34.88,-76.9,78.01,3.36
379,Deputatskiy,11,RU,1561616375,24,69.3,139.9,74.57,9.06
380,Bridlington,0,GB,1561616376,93,54.08,-0.19,54.0,3.36
381,Annau,0,TM,1561616107,26,37.89,58.52,95.0,18.34
382,Pathein,100,MM,1561616378,87,16.78,94.73,80.51,14.94
383,Buala,85,SB,1561616379,75,-8.15,159.59,83.03,8.21
384,Kulunda,74,RU,1561616379,65,52.57,78.94,74.21,9.8
385,Atar,0,MR,1561616379,23,20.52,-13.05,86.45,12.35
386,Manokwari,100,ID,1561616381,84,-0.87,134.08,77.45,0.63
387,Lubango,0,AO,1561616381,29,-14.92,13.49,60.8,9.17
388,Bafoulabe,43,ML,1561616381,56,13.81,-10.83,83.75,2.8
389,Mahebourg,40,MU,1561616381,78,-20.41,57.7,77.0,17.22
390,Flinders,20,AU,1561616382,83,-34.58,150.85,63.0,1.01
391,Dumas,40,IN,1561616382,66,21.09,72.71,89.6,5.82
392,Sosnogorsk,99,RU,1561616383,34,63.59,53.93,62.51,5.03
393,Schwabach,0,DE,1561616359,69,49.33,11.02,77.0,4.7
394,Nizhnevartovsk,90,RU,1561616383,87,60.93,76.58,51.8,8.95
395,Bodo,95,CI,1561616383,98,5.91,-4.68,70.97,0.98
396,Carnoustie,0,GB,1561616168,93,56.5,-2.71,53.6,4.7
397,Newport,90,GB,1561616100,87,51.59,-3.0,57.2,18.34
398,Senno,90,RU,1561616384,93,57.76,27.95,57.2,2.24
399,Fairbanks,75,US,1561616384,43,64.84,-147.72,70.0,1.5
400,Bara,100,NG,1561616385,87,10.41,10.6,73.67,9.66
401,Puerto Ayacucho,93,CO,1561616385,90,5.66,-67.63,75.65,6.8
402,Flin Flon,28,CA,1561616386,95,54.77,-101.88,49.91,4.59
403,Fukue,75,JP,1561616386,88,35.03,136.69,78.01,14.99
404,Shizunai,100,JP,1561616386,80,42.33,142.37,62.87,9.62
405,Ancud,75,CL,1561616387,93,-41.87,-73.83,46.4,11.41
406,Havre-Saint-Pierre,90,CA,1561616387,93,50.23,-63.6,53.6,6.93
407,Vila Velha,75,BR,1561616387,74,-3.71,-38.6,80.6,12.75
408,Osakasayama,75,JP,1561616387,100,34.5,135.55,78.01,5.82
409,Lulea,99,SE,1561616388,62,65.58,22.15,55.4,16.11
410,Aberdeen,40,US,1561616388,87,46.98,-123.82,57.99,8.05
411,Sao Raimundo das Mangabeiras,18,BR,1561616389,71,-7.02,-45.48,69.35,2.17
412,Angoram,86,PG,1561616389,70,-4.06,144.07,86.99,5.7
413,Changtu,38,CN,1561616389,37,42.78,124.11,90.59,10.8
414,Mangai,5,CD,1561616389,64,-4.07,19.59,72.23,1.32
415,Caborca,80,MX,1561616390,49,30.58,-111.1,73.99,2.39
416,Usinsk,96,RU,1561616390,49,66.0,57.56,61.97,10.87
417,Kusu,75,JP,1561616390,94,33.28,131.15,84.99,6.93
418,Voyvozh,20,RU,1561616346,32,62.89,54.96,69.53,1.01
419,Albox,20,ES,1561616391,83,37.39,-2.15,73.4,4.7
420,Palora,44,EC,1561616391,91,-1.7,-77.97,63.59,2.86
421,Bosaso,0,SO,1561616391,37,11.28,49.18,96.8,33.33
422,San Juan,12,AR,1561616392,22,-31.54,-68.53,46.31,10.22
423,Marihatag,100,PH,1561616393,92,8.8,126.3,81.59,1.9
424,Homer,1,US,1561616393,87,59.64,-151.54,59.0,4.7
425,Inhambane,40,MZ,1561616393,88,-23.87,35.38,68.0,2.33
426,Nizhniy Kuranakh,4,RU,1561616394,37,58.84,125.49,74.03,5.66
427,Semirom,0,IR,1561616394,15,31.41,51.57,78.53,4.14
428,Penzance,0,GB,1561616394,82,50.12,-5.53,66.2,29.97
429,Seka,87,ET,1561616395,91,7.6,36.72,62.33,2.04
430,Portland,90,US,1561616194,87,43.66,-70.25,63.0,8.05
431,Bouca,98,CF,1561616396,97,6.51,18.28,71.15,2.28
432,Maymyo,75,MM,1561616396,53,22.03,96.47,95.0,11.41
433,Tarko-Sale,71,RU,1561616281,85,64.92,77.78,50.0,8.01
434,Auki,38,NG,1561616396,85,12.18,6.51,73.31,15.08
435,Poum,20,MK,1561616397,64,41.28,20.71,73.4,3.44
436,Brae,75,GB,1561616397,87,60.4,-1.35,51.8,10.29
437,Lauria,48,IT,1561616397,65,40.05,15.84,75.99,5.61
438,Wakkanai,75,JP,1561616398,93,45.41,141.67,51.8,13.87
439,Tommot,65,RU,1561616398,36,58.97,126.27,74.03,5.35
440,Key West,1,US,1561616386,72,47.93,-96.78,64.99,8.05
441,Tonantins,84,BR,1561616399,98,-2.86,-67.77,72.05,2.73
442,Jiuquan,98,CN,1561616399,39,39.73,98.49,67.55,15.55
443,Muzhi,33,RU,1561616399,38,65.4,64.7,58.19,4.9
444,Somerset,75,US,1561616400,100,41.77,-71.13,69.01,1.66
445,Jishu,28,CN,1561616400,46,44.29,126.79,85.91,10.74
446,Brigantine,1,US,1561616400,73,39.41,-74.36,75.99,5.7
447,Nanhai,92,CN,1561616400,57,30.13,111.78,90.0,7.72
448,Kemin,0,KG,1561616401,30,42.79,75.7,74.93,1.43
449,Miandrivazo,0,MG,1561616401,51,-19.53,45.46,78.35,2.35
450,Lumsden,75,CA,1561616401,55,50.65,-104.86,66.2,4.7
451,Ovalle,100,CL,1561616402,61,-30.6,-71.2,48.47,4.65
452,Kedgwick,99,CA,1561616402,93,47.65,-67.35,54.59,6.29
453,Del Rio,1,US,1561616402,78,29.36,-100.9,77.0,11.41
454,Ban Phai,75,TH,1561616403,55,16.55,102.46,91.4,8.05
455,Helena,1,US,1561616403,67,46.59,-112.04,57.2,9.17
456,Monze,0,ZM,1561616404,67,-16.28,27.48,57.65,5.57
457,Yeppoon,90,AU,1561616404,56,-23.13,150.74,73.4,18.34
458,Gazojak,62,TM,1561616404,9,41.19,61.4,104.09,19.35
459,Pilar,0,AR,1561616405,70,-34.46,-58.91,51.01,11.41
460,Aleksandrovskiy Zavod,79,RU,1561616405,59,50.92,117.94,68.45,9.6
461,Gold Coast,40,AU,1561616183,77,-28.0,153.41,66.99,20.8
462,Port Augusta,0,AU,1561616406,38,-32.49,137.76,73.4,19.46
463,Carutapera,49,BR,1561616406,93,-1.2,-46.02,74.21,4.07
464,Gornozavodsk,62,RU,1561616406,47,58.37,58.33,64.13,2.68
465,Hay River,90,CA,1561616407,93,60.82,-115.79,51.8,6.93
466,Lebedinyy,10,RU,1561616407,49,58.52,125.52,68.09,9.17
467,Khapa,40,IN,1561616407,62,21.42,78.98,89.6,5.82
468,Kogon,0,UZ,1561616408,19,39.73,64.54,98.6,6.93
469,Nantucket,1,US,1561616231,93,41.28,-70.1,64.0,4.43
470,Darhan,100,MN,1561616408,63,49.49,105.92,60.89,12.35
471,Jimeta,98,NG,1561616409,82,9.28,12.44,75.47,10.29
472,Woodland,1,US,1561616178,67,38.68,-121.77,64.99,10.29
473,Coquimbo,0,CL,1561616409,87,-29.95,-71.34,50.0,8.05
474,Kozhva,99,RU,1561616410,41,65.11,57.05,63.95,6.96
475,Te Anau,0,NZ,1561616410,78,-45.41,167.72,46.31,5.64
476,Paramonga,48,PE,1561616410,89,-10.68,-77.82,60.53,8.95
477,Nanpiao,58,CN,1561616411,26,41.1,120.75,95.45,16.55
478,Kalispell,90,US,1561616196,72,48.2,-114.32,60.8,6.93
479,Upata,3,VE,1561616411,91,8.02,-62.41,75.0,1.01
480,Waingapu,10,ID,1561616412,63,-9.65,120.26,78.53,16.35
481,Marienburg,75,DE,1561616412,71,52.12,9.98,60.01,11.41
482,Kautokeino,71,NO,1561616412,71,69.01,23.04,46.67,14.83
483,Camacha,40,PT,1561616412,72,33.08,-16.33,66.2,11.41
484,Saurimo,0,AO,1561616413,40,-9.66,20.4,61.25,8.23
485,Provideniya,90,RU,1561616413,87,64.42,-173.23,51.8,8.95
486,Naspur,0,IN,1561616414,42,18.83,79.45,98.15,10.11
487,Sorland,40,NO,1561616414,70,67.67,12.69,48.2,10.29
488,Paka,85,CF,1561616414,97,4.15,15.03,67.19,4.16
489,Magdagachi,100,RU,1561616415,34,53.45,125.8,76.55,5.82
490,San Mariano,52,PH,1561616415,75,16.98,122.01,86.63,2.93
491,Luba,93,PH,1561616415,69,17.32,120.7,86.27,10.54
492,Aksarka,87,RU,1561616416,47,66.56,67.8,53.69,4.68
493,Nanortalik,99,GL,1561616416,98,60.14,-45.24,36.41,8.9
494,Villa Alemana,0,CL,1561616416,87,-33.04,-71.37,46.4,3.22
495,Dengfeng,100,CN,1561616416,35,34.46,113.03,85.01,6.02
496,Najran,0,SA,1561616417,14,17.54,44.22,95.0,5.82
497,Yining,53,CN,1561616417,49,29.04,114.56,92.75,2.57
498,Nsanje,8,MZ,1561616417,80,-16.92,35.26,65.39,3.4
499,Neumunster,40,DE,1561616418,76,54.07,9.98,59.0,17.22
500,Vostok,100,RU,1561616418,98,46.45,135.83,57.47,4.05
501,Marrakesh,75,MA,1561616419,64,31.63,-7.99,69.8,2.24
502,Vaitape,0,PF,1561616419,71,-16.52,-151.75,80.69,4.09
503,Oistins,40,BB,1561616419,74,13.07,-59.53,80.6,23.04
504,Ilheus,0,BR,1561616123,100,-14.79,-39.05,71.6,4.7
505,Ambilobe,44,MG,1561616420,69,-13.19,49.05,78.89,3.56
506,Wajima,75,JP,1561616420,94,37.4,136.9,71.6,5.82
507,Trincomalee,70,LK,1561616421,41,8.58,81.23,95.45,11.25
508,Qiongshan,20,CN,1561616421,63,20.01,110.35,95.0,6.71
509,Labuhan,14,ID,1561616421,44,-2.54,115.51,92.21,2.95
510,Lugazi,41,UG,1561616422,87,0.37,32.94,68.81,2.13
511,Dudinka,0,RU,1561616422,61,69.41,86.18,46.4,13.42
512,Boende,96,CD,1561616422,98,-0.28,20.88,70.61,6.69
513,Kologriv,91,RU,1561616423,93,58.83,44.31,51.71,7.16
514,Beatrice,1,US,1561616423,88,40.27,-96.75,78.8,8.05
515,Lata,0,IN,1561616423,49,30.78,78.62,51.35,9.64
516,Hof,0,DE,1561616425,45,50.32,11.92,75.0,9.17
517,Russell,1,US,1561616425,65,38.9,-98.86,78.8,19.46
518,Batemans Bay,7,AU,1561616426,65,-35.71,150.18,62.01,3.0
519,Kollegal,94,IN,1561616426,49,12.16,77.11,85.01,15.23
520,Pangai,75,TO,1561616427,88,-19.8,-174.35,73.4,16.11
521,Karatau,67,KZ,1561616427,13,43.18,70.46,92.03,6.82
522,Surgut,75,RU,1561616427,66,61.25,73.4,53.6,13.42
523,Fez,0,MA,1561616428,87,34.03,-5.02,66.2,3.36
524,Bhatkal,89,IN,1561616428,80,13.97,74.57,82.31,13.09
525,Eseka,100,CM,1561616428,98,3.65,10.77,71.51,1.79
526,Pirganj,100,BD,1561616429,65,25.85,88.36,91.85,3.09
527,Meulaboh,11,ID,1561616429,73,4.14,96.13,83.39,7.18
528,Imbituba,75,BR,1561616429,71,-28.24,-48.67,57.2,6.93
529,Road Town,1,VG,1561616407,78,18.42,-64.62,81.0,10.29
530,Maradi,40,NE,1561616430,57,13.5,7.1,81.95,14.63
531,Pacific Grove,20,US,1561616430,82,36.62,-121.92,61.0,4.7
532,Kokopo,100,PG,1561616431,89,-4.34,152.27,80.51,1.03
533,Mabaruma,0,GY,1561616431,97,8.2,-59.78,70.25,1.74
534,Gorontalo,0,ID,1561616431,68,0.54,123.06,84.83,9.46
535,Kurya,0,RU,1561616431,46,51.6,82.29,77.63,5.97
536,Sitka,72,US,1561616432,75,37.17,-99.65,75.0,11.99
537,Swinoujscie,75,PL,1561616432,67,53.91,14.25,64.0,17.22
538,Cassilandia,95,BR,1561616432,92,-19.11,-51.73,64.67,1.41
539,Mamallapuram,40,IN,1561616433,53,12.63,80.17,95.0,10.29
540,Elmina,87,GH,1561616433,91,5.09,-1.35,75.83,7.56
541,North Bend,90,US,1561616433,93,43.41,-124.22,57.99,6.93
542,Palmer,0,AU,1561616434,35,-34.85,139.16,71.6,18.34
543,Umm Lajj,0,SA,1561616137,59,25.02,37.27,86.63,11.07
544,Ontario,0,US,1561616337,82,34.07,-117.65,66.99,6.93
545,Eyl,39,SO,1561616435,47,7.98,49.82,84.83,31.9
546,Aitape,55,PG,1561616435,67,-3.15,142.36,84.29,5.26
547,Deception Bay,75,AU,1561616435,68,-27.19,153.02,69.01,11.41
548,Lima,90,PE,1561616248,82,-12.06,-77.04,62.6,2.24
549,Chicama,20,PE,1561616227,88,-7.84,-79.15,62.6,6.93
550,Kattivakkam,40,IN,1561616436,53,13.22,80.32,95.0,10.29
